"FechadeSubasta" "FechaLiquidacion" "MontoSubastado" "MontoDemandado" "MontoAdjudicado" "RendimientoPPA"
"459" 2021-09-15 2021-09-17 5000 19301.08 16149 0.0361450166662634
"460" 2021-09-22 2021-09-23 2000 5638.12 4062.12 0.0346134274700303
"461" 2021-09-29 2021-10-01 2000 4340 2060 0.0364785198901348
"462" 2021-10-06 2021-10-08 2000 3050 1850 0.0364731855752442
"463" 2021-10-13 2021-10-15 2000 3705 3130 0.0363812753321481
"464" 2021-10-20 2021-10-22 2000 4395 2080 0.0368307127776046
"465" 2021-10-27 2021-10-29 2000 4490 2260 0.0389346167315031
"466" 2021-11-03 2021-11-05 1000 2080 530 0.0394603755605346
"467" 2021-11-10 2021-11-12 1000 2992.04 1000 0.0389545036741339
"468" 2021-11-24 2021-11-26 500 4778.22 2050 0.0371043934455694
"469" 2022-01-05 2022-01-07 2000 4503.62 4016.62 0.0677551686301539
"470" 2022-01-12 2022-01-14 2000 14727.39 8808.39 0.0727289876634953
"471" 2022-01-19 2022-01-20 2000 5029.64 4369.86 0.070543553047695
"472" 2022-01-26 2022-01-28 2000 1827.02 1577.02 0.0646939897157574
"473" 2022-02-02 2022-02-04 2000 3057.2 2469.7 0.073566639562607
"474" 2022-02-09 2022-02-11 2000 695.45 208.75 0.0754066134653934
"475" 2022-02-16 2022-02-18 2000 634.65 369.65 0.0709090871626124
"476" 2022-02-23 2022-02-25 2000 981.4 939.6 0.0732965270001192
"477" 2022-03-02 2022-03-04 2000 498.76 482.76 0.0763071069388361
"478" 2022-03-09 2022-03-11 2000 254.4 254.4 0.0709593113377054
"479" 2022-03-16 2022-03-18 2000 4366.07 4366.07 0.0710893843003554
"480" 2022-03-23 2022-03-25 2000 10509.6 10292.4 0.0721345670806889
"481" 2022-03-30 2022-04-01 2000 486.8 486.8 0.08248206
"482" 2022-04-06 2022-04-08 2000 434.4 100 0.0774597738273354
"483" 2022-04-12 2022-04-13 2000 163.29 107.86 0.0755227047924482
"484" 2022-04-20 2022-04-22 2000 312.34 232.34 0.0771917963003775
"485" 2022-04-27 2022-04-29 2000 26.74 18.7 0.0764784398848442
"486" 2022-05-04 2022-05-06 2000 262.03 256.03 0.0746047021389616
"487" 2022-05-11 2022-05-13 2000 219.55 206.11 0.0823007310683869
"488" 2022-05-18 2022-05-20 10000 12964.58 1102.13 0.0734088589725148
"489" 2022-05-25 2022-05-27 10000 20566 16613.6 0.0802735061465832
"490" 2022-06-01 2022-06-03 10000 4418.86 3828.86 0.0834854286383607
"491" 2022-06-08 2022-06-10 2000 309.68 186.87 0.092174921182229
"492" 2022-06-15 2022-06-17 5000 18113.33 18087.86 0.095013919559428
"493" 2022-06-22 2022-06-24 5000 10039.3 10025.4 0.0930993811868241
"494" 2022-06-29 2022-07-01 5000 19.2 18.2 0.09402138
"495" 2022-07-06 2022-07-08 5000 5333.05 5204.4 0.100853870556905
"496" 2022-07-13 2022-07-15 5000 3505.56 3495.11 0.101864154192139
"497" 2022-07-20 2022-07-22 5000 5174.42 597.21 0.102447825976785
"498" 2022-07-27 2022-07-29 5000 5064.35 43.35 0.102189490917024
"499" 2022-08-03 2022-08-05 5000 5306.96 5281.96 0.105895684915668
"500" 2022-08-10 2022-08-12 5000 5088.74 5017.5 0.110362817224982
"501" 2022-08-17 2022-08-19 5000 7262.47 6161.46 0.111122055101436
"502" 2022-08-24 2022-08-26 5000 3554.66 3554.66 0.112336941426404
"503" 2022-08-31 2022-09-02 5000 2148.09 82.46 0.110087901138573
"504" 2022-09-07 2022-09-09 3000 925.13 924.13 0.111522138804253
"505" 2022-09-14 2022-09-16 3000 3710.54 2707.69 0.113836526578538
"506" 2022-09-21 2022-09-23 3000 73.5 21.34 0.113240769687332
"507" 2022-09-28 2022-09-30 5000 9358.12 148.78 0.11402758429651
"508" 2022-10-05 2022-10-07 5000 14002.4 10230.62 0.118491567221963
"509" 2022-10-12 2022-10-14 5000 15357.25 15349.5 0.116538280842093
"510" 2022-10-19 2022-10-21 5000 10562.52 10142.8 0.114172284666563
"511" 2022-10-26 2022-10-28 5000 5494.64 2480.25 0.118703601111553
"512" 2022-11-02 2022-11-04 5000 10281.14 10131.42 0.120602968499058
"513" 2022-11-09 2022-11-11 5000 248.81 243.71 0.11425843242334
"514" 2022-11-16 2022-11-18 1000 107.26 107.26 0.116105404482026
"515" 2022-11-23 2022-11-25 1000 16.9 14.9 0.114191476217481
"516" 2022-11-30 2022-12-02 1000 373.54 247.54 0.114019104444577
"517" 2022-12-07 2022-12-09 1000 244.13 239.2 0.118884152128886
"518" 2022-12-14 2022-12-16 1000 115.73 103.73 0.116873664963427
"519" 2022-12-21 2022-12-23 1000 164.79 86.64 0.117509646889316
"520" 2022-12-28 2022-12-30 1000 34.1 34.1 0.119275166351251
"521" 2023-01-11 2023-01-13 5000 3103.56 1533.52 0.115683344227186
"522" 2023-01-18 2023-01-20 5000 1823.58 1742.46 0.116557005196169
"523" 2023-01-25 2023-01-27 5000 7255.76 7204.76 0.122246840032108
"524" 2023-02-01 2023-02-03 5000 10187.1 10101.1 0.124990733514839
"525" 2023-02-08 2023-02-10 5000 5964.59 5931.25 0.115384914280824
"526" 2023-02-15 2023-02-17 5000 5511.5 5460.44 0.124643781308008
"527" 2023-02-22 2023-02-24 5000 7599.48 7544.38 0.121960314007594
"528" 2023-03-01 2023-03-03 5000 823.81 401.99 0.12132903915049
"529" 2023-03-08 2023-03-10 5000 459.33 381.64 0.123830823118775
"530" 2023-03-15 2023-03-17 5000 2795.35 2780.39 0.12400917589257
"531" 2023-03-22 2023-03-24 5000 7710.9 7708.36 0.118409735108827
"532" 2023-03-29 2023-03-31 5000 196.03 193.43 0.117801383908838
"533" 2023-04-04 2023-04-05 5000 3125.24 2443.71 0.121402833498405
"534" 2023-04-19 2023-04-21 5000 9854.1 9850.77 0.123541311760454
"535" 2023-04-26 2023-04-28 5000 9231.47 9231.47 0.123522887104369
"536" 2023-05-03 2023-05-05 5000 10624.33 9792.55 0.118705632812305
